name,position,team,kickoff_time,opponent_team,value,was_home
Tom King,GK,Wolves,2024-09-15,15,40,TRUE
Mario Lemina,MID,Wolves,2024-09-15,15,50,TRUE
Yerson Mosquera,DEF,Wolves,2024-09-15,15,40,TRUE
Nélson Cabral Semedo,DEF,Wolves,2024-09-15,15,45,TRUE
Pedro Cardoso de Lima,DEF,Wolves,2024-09-15,15,40,TRUE
Daniel Castelo Podence,MID,Wolves,2024-09-15,15,55,TRUE
Rodrigo Martins Gomes,MID,Wolves,2024-09-15,15,54,TRUE
Santiago Bueno,DEF,Wolves,2024-09-15,15,44,TRUE
Pablo Sarabia,MID,Wolves,2024-09-15,15,54,TRUE
Jørgen Strand Larsen,FWD,Wolves,2024-09-15,15,55,TRUE
Toti António Gomes,DEF,Wolves,2024-09-15,15,45,TRUE
Bastien Meupiyou,DEF,Wolves,2024-09-15,15,40,TRUE
André Trindade da Costa Neto,MID,Wolves,2024-09-15,15,50,TRUE
Carlos Roberto Forbs Borges,MID,Wolves,2024-09-15,15,55,TRUE
Fábio Ferreira Vieira,MID,Arsenal,2024-09-15,18,54,FALSE
Gabriel Fernando de Jesus,FWD,Arsenal,2024-09-15,18,68,FALSE
Gabriel dos Santos Magalhães,DEF,Arsenal,2024-09-15,18,60,FALSE
Kai Havertz,FWD,Arsenal,2024-09-15,18,81,FALSE
Karl Hein,GK,Arsenal,2024-09-15,18,40,FALSE
Jurriën Timber,DEF,Arsenal,2024-09-15,18,55,FALSE
Jorge Luiz Frello Filho,MID,Arsenal,2024-09-15,18,49,FALSE
Jakub Kiwior,DEF,Arsenal,2024-09-15,18,49,FALSE
Gabriel Martinelli Silva,MID,Arsenal,2024-09-15,18,69,FALSE
Ethan Nwaneri,MID,Arsenal,2024-09-15,18,45,FALSE
Martin Ødegaard,MID,Arsenal,2024-09-15,18,84,FALSE
David Raya Martin,GK,Arsenal,2024-09-15,18,55,FALSE
Declan Rice,MID,Arsenal,2024-09-15,18,64,FALSE
Bukayo Saka,MID,Arsenal,2024-09-15,18,101,FALSE
William Saliba,DEF,Arsenal,2024-09-15,18,60,FALSE
Thomas Partey,MID,Arsenal,2024-09-15,18,50,FALSE
Kieran Tierney,DEF,Arsenal,2024-09-15,18,44,FALSE
Tomiyasu Takehiro,DEF,Arsenal,2024-09-15,18,49,FALSE
Leandro Trossard,MID,Arsenal,2024-09-15,18,69,FALSE
Benjamin White,DEF,Arsenal,2024-09-15,18,65,FALSE
Oleksandr Zinchenko,DEF,Arsenal,2024-09-15,18,49,FALSE
Norberto Murara Neto,GK,Arsenal,2024-09-15,18,45,FALSE
Raheem Sterling,MID,Arsenal,2024-09-15,18,68,FALSE
Riccardo Calafiori,DEF,Arsenal,2024-09-15,18,58,FALSE
Myles Lewis-Skelly,MID,Arsenal,2024-09-15,18,45,FALSE
Mikel Merino,MID,Arsenal,2024-09-15,18,60,FALSE
Salah-Eddine Oulad M'hand,MID,Arsenal,2024-09-15,18,45,FALSE
Tommy Setford,GK,Arsenal,2024-09-15,18,45,FALSE
Kristoffer Ajer,DEF,Brentford,2024-09-14,13,45,FALSE
Ethan Brierley,MID,Brentford,2024-09-14,13,45,FALSE
Nathan Collins,DEF,Brentford,2024-09-14,13,45,FALSE
Mikkel Damsgaard,MID,Brentford,2024-09-14,13,50,FALSE
Josh Dasilva,MID,Brentford,2024-09-14,13,49,FALSE
Mark Flekken,GK,Brentford,2024-09-14,13,45,FALSE
Rico Henry,DEF,Brentford,2024-09-14,13,44,FALSE
Aaron Hickey,DEF,Brentford,2024-09-14,13,44,FALSE
Vitaly Janelt,MID,Brentford,2024-09-14,13,49,FALSE
Mathias Jensen,MID,Brentford,2024-09-14,13,55,FALSE
Kim Ji-soo,DEF,Brentford,2024-09-14,13,40,FALSE
Yunus Emre Konak,MID,Brentford,2024-09-14,13,45,FALSE
Keane Lewis-Potter,MID,Brentford,2024-09-14,13,50,FALSE
Bryan Mbeumo,MID,Brentford,2024-09-14,13,71,FALSE
Ben Mee,DEF,Brentford,2024-09-14,13,44,FALSE
Christian Nørgaard,MID,Brentford,2024-09-14,13,50,FALSE
Frank Onyeka,MID,Brentford,2024-09-14,13,49,FALSE
Myles Peart-Harris,MID,Brentford,2024-09-14,13,45,FALSE
Ethan Pinnock,DEF,Brentford,2024-09-14,13,45,FALSE
Mads Roerslev Rasmussen,DEF,Brentford,2024-09-14,13,45,FALSE
Kevin Schade,MID,Brentford,2024-09-14,13,55,FALSE
Igor Thiago Nascimento Rodrigues,FWD,Brentford,2024-09-14,13,59,FALSE
Ivan Toney,FWD,Brentford,2024-09-14,13,73,FALSE
Hákon Valdimarsson,GK,Brentford,2024-09-14,13,40,FALSE
Yoane Wissa,FWD,Brentford,2024-09-14,13,61,FALSE
Yehor Yarmoliuk,MID,Brentford,2024-09-14,13,45,FALSE
Mathias Jorgensen,DEF,Brentford,2024-09-14,13,45,FALSE
Fábio Freitas Gouveia Carvalho,MID,Brentford,2024-09-14,13,49,FALSE
Sepp van den Berg,DEF,Brentford,2024-09-14,13,40,FALSE
Ryan Trevitt,MID,Brentford,2024-09-14,13,45,FALSE
